setting,src,tgt,interval,unknown,unknown_name,n_src,n_tgt,n_unknown_tgt,d_novel_maha,d_drift_maha,DNR_maha,d_novel_euclid,d_drift_euclid,DNR_euclid,d_novel_energy,d_drift_energy,DNR_energy,AUROC_maha,AUROC_knn,AUROC_msp,MMD_drift,MMD_novel,MMD_ratio,PAD_drift,DNR_maha_mean,d_novel_maha_mean,d_drift_maha_mean,AUROC_maha_mean,DNR_maha_coral,d_novel_maha_coral,d_drift_maha_coral,AUROC_maha_coral,pair
Setting 1,1,2,1,1,Ethanol,445,1244,164,904.4396497954667,27.508147964310627,0.030414575445173616,89.73216647623067,7.9465266159629895,0.08855828325584851,7.72881787730503,5.725581692968498,0.7408094981486298,0.6233005871725383,0.6493281391147245,0.21752201897018975,0.05361508757996036,0.1736317022921241,0.30878628080116644,1.8399999999999999,0.1552638513131467,785.4238384252691,121.94793006706195,0.6068766937669376,0.7248761777031573,7.123180213248331,5.1634236460702105,0.8748475609756097,1->2
Setting 1,1,2,1,2,Ethylene,445,1244,334,52.63918812392332,206.77730098721784,3.928200801661723,15.660359747092471,28.15872894911905,1.7980895333101812,10.140536019801639,7.000296214610517,0.6903280261458459,0.665578732644601,0.6840922550503389,0.12332532736724355,0.10168355121923534,0.2934302610634152,0.34653396296184946,1.952,2.259774426424738,108.35171875700537,244.85044310624633,0.8082450483648088,0.4706083926650404,13.800689423322318,6.494720267179139,0.7583207211949727,1->2
Setting 1,1,2,1,3,Ammonia,445,1244,100,33.29800701593971,311.75990742663714,9.362719735069973,7.387566236015978,35.90791943750601,4.860588492925744,6.88491339331526,7.381285340753649,1.072095597879318,0.7604020979020979,0.5459090909090909,0.10824300699300701,0.08108421410378241,0.2846113611638639,0.284894509383617,1.8239999999999998,2.3045667848207523,154.63725809548018,356.37188870259763,0.927805944055944,0.23779372208893643,35.18340802289458,8.36639354953785,0.8036013986013986,1->2
Setting 1,1,2,1,4,Acetaldehyde,445,1244,109,21.060788897493918,251.46340269800677,11.93988524940436,7.225184642017754,28.71131805101607,3.973783297390993,6.929726794282171,5.437881595812656,0.7847180353920359,0.5424807016125773,0.5031726144768218,0.19692034110657558,0.0639651820379088,0.2934390046485138,0.21798459313385204,1.888,2.346574605681372,123.60570095839996,290.049998986427,0.7753142302873541,0.5680375741912965,8.833094487323274,5.0175295651816265,0.5215939861779089,1->2
Setting 1,1,2,1,5,Acetone,445,1244,532,35.99255973528091,244.41544797334205,6.790721464963194,11.372515820259839,29.57701929120618,2.6007454954263944,10.050425862916386,7.184987398073472,0.7148938260003806,0.7965911970938584,0.8276352749852158,0.7742090479006504,0.07265930730003944,0.43302837515604553,0.16779340908977625,1.8239999999999998,2.373423217675516,118.44044355425825,281.109298643463,0.25038016389287826,0.5417598929874459,16.131323022376204,8.739303834348455,0.7793359804004394,1->2
Setting 1,1,3,2,1,Ethanol,445,1586,365,38.31898533410745,22.305547677487063,0.5821017305913123,21.110950443652516,10.349147592875214,0.4902265116152986,24.85971732682476,9.814020893212755,0.3947760452860412,0.8713091671995782,0.9321642938081294,0.37123848630697953,0.1475151711840501,0.6179844799721947,0.2387036826405209,1.968,0.7437122541794652,22.686016121777858,16.871868188279098,0.7979132307899433,0.771415515659982,6.149581232012921,4.743882377186195,0.7202966353651284,1->3
Setting 1,1,3,2,2,Ethylene,445,1586,490,50.49059519114798,23.27993690325128,0.46107471728383825,23.695432132237567,12.218711350659408,0.5156568271247473,27.514342362361376,12.607787971771147,0.4582260337437011,0.8870568300312826,0.8227338745717266,0.364134887531655,0.13961637364617419,0.6967964704499592,0.20036894497473035,1.936,0.6140307811772258,33.695739084731535,20.690220992541683,0.7675778340533295,0.3884949760122033,13.408035749406224,5.208954526836335,0.7706260241322807,1->3
Setting 1,1,3,2,3,Ammonia,445,1586,216,25.041921983148068,35.03960417160872,1.399237813902167,6.4045417900065384,14.946439031639274,2.3337249598341705,5.7927473507825145,15.751710736695786,2.7192124535809357,0.2574074074074074,0.08638145444714787,0.5928527980535281,0.2568900224221933,0.3030966741773452,0.8475514392212832,1.968,0.8001072498992066,29.87587943824261,23.903907735652545,0.7467693971343606,0.4134084230481372,20.84136087141997,8.61599413203088,0.7844991889699919,1->3
Setting 1,1,3,2,4,Acetaldehyde,445,1586,240,20.160552934662,28.064331106537903,1.3920417360322965,6.412927805249246,14.111268676443316,2.200440907021074,6.0794293049289365,14.331264918892849,2.3573372104637658,0.252318598315998,0.2513558692421991,0.509494180287271,0.21135903662126831,0.30048789503989726,0.7033861932881028,1.936,1.4883704337621275,14.163054667083921,21.07987181824442,0.05065316988608225,0.37680521070486883,12.317053278378536,4.64112985582252,0.8498173600792471,1->3
Setting 1,1,3,2,5,Acetone,445,1586,275,32.96689275197978,32.67770295909129,0.9912278723061906,11.982147290669795,15.180668315100787,1.2669405530444116,9.272172720308124,16.282219281063238,1.7560306275789654,0.5297801816794951,0.5638277511961722,0.8410068649885585,0.23180805218355172,0.2606266243677522,0.8894258318615347,2.0,0.7331162768557832,32.49995249668695,23.82624417236095,0.7978087511268289,0.3265964922218986,27.53249751185375,8.992017109479587,0.9425837320574163,1->3
Setting 1,1,4,3,1,Ethanol,445,161,64,69.3772672744467,34.17178414347456,0.4925501606786528,40.77764010419374,15.965358820636258,0.39152238285104474,41.62593869513384,17.85960221795373,0.4290498371401665,0.8748389175257731,0.881604381443299,0.5658827319587628,0.280850014422803,0.6735209278662311,0.41698780661880636,1.9080459770114944,1.1177082754662908,29.81702279396159,33.32673312657789,0.7408182989690721,0.9098014299314324,5.699479021311081,5.185394163453022,0.8300579896907216,1->4
Setting 1,1,4,3,2,Ethylene,445,161,43,55.329173239681616,36.812157068716246,0.6653299681390301,25.16074905102661,22.775786819687617,0.9052110004156779,30.926714014943833,25.116300512245388,0.8121231534688476,0.5512416239653134,0.4603862830114308,0.33208513992905003,0.3788462835363253,0.8796153367095785,0.4306954048271768,1.891304347826087,0.9199764791152795,36.89799312084351,33.94528579773341,0.5208908159243201,0.33742998658476936,15.31005118847033,5.166070367137676,0.7493102089081592,1->4
Setting 1,1,4,3,3,Ammonia,445,161,12,32.36841990695679,54.77986525677659,1.6923861410053882,6.48349104806146,26.03718980259567,4.0159213006672845,8.660315801859296,28.69463814927797,3.3133477815113253,0.025167785234899327,0.0,0.569910514541387,0.4154052965423478,0.30670827015236357,1.3543987461961386,1.98,0.7453202913503738,51.297287063321654,38.23290893951866,0.5743847874720358,0.32702428899331826,30.01839202857338,9.816743309866903,0.8920581655480984,1->4
Setting 1,1,4,3,4,Acetaldehyde,445,161,30,45.77713071527932,40.5785973340401,0.8864381995985591,21.708049365110195,21.168301507112844,0.9751360498163943,18.397329539660632,24.563277311443194,1.3351544993793867,0.5152671755725191,0.5157760814249364,0.4725190839694656,0.37572411882722645,0.3432827414020114,1.094503374369245,1.9581151832460733,0.8343033208506742,38.817370389028426,32.38546102225704,0.5753180661577608,0.4346531009219519,10.856620648008125,4.718863830190022,0.7801526717557252,1->4
Setting 1,1,4,3,5,Acetone,445,161,12,44.14664229804643,52.65489124017421,1.1927269776189589,19.927311726356983,25.8674188737263,1.2980887351459756,29.04098639892654,25.976066685656214,0.8944622723495501,0.3478747203579418,0.4681208053691275,0.6672259507829978,0.3489082660699794,0.9600256427330812,0.363436402674285,1.98,0.7961967623013667,51.384889707026865,40.91248281594761,0.45357941834451904,0.1906173847935526,41.190529710735696,7.851631051721568,1.0,1->4
